"图解标题：节点数据集"
"#","日期 时间, GMT+08:00","温度, °C (LGR S/N: 20557856, SEN S/N: 20557856-3, LBL: SciChamber_Up)","温度, °C (LGR S/N: 20557856, SEN S/N: 20557856-1, LBL: TwoChamber_Link)","温度, °C (LGR S/N: 20557856, SEN S/N: 20557856-2, LBL: SciChamber_Side)"
86,08/12/2020 12时42分00秒,22.633,22.298,22.298
87,08/12/2020 12时43分00秒,22.537,22.274,22.250
88,08/12/2020 12时44分00秒,22.561,22.250,22.274
89,08/12/2020 12时45分00秒,22.561,22.250,22.274
90,08/12/2020 12时46分00秒,22.537,22.274,22.250
91,08/12/2020 12时47分00秒,22.609,22.298,22.274
92,08/12/2020 12时48分00秒,22.561,22.274,22.274
93,08/12/2020 12时49分00秒,22.537,22.321,22.298
94,08/12/2020 12时50分00秒,22.561,22.345,22.298
95,08/12/2020 12时51分00秒,22.489,22.321,22.298
96,08/12/2020 12时52分00秒,22.489,22.321,22.298
97,08/12/2020 12时53分00秒,22.489,22.321,22.298
98,08/12/2020 12时54分00秒,22.513,22.321,22.298
99,08/12/2020 12时55分00秒,22.513,22.321,22.274
100,08/12/2020 12时56分00秒,22.513,22.321,22.274
101,08/12/2020 12时57分00秒,22.537,22.321,22.274
102,08/12/2020 12时58分00秒,22.537,22.321,22.298
103,08/12/2020 12时59分00秒,22.585,22.298,22.298
104,08/12/2020 13时00分00秒,22.489,22.321,22.274
105,08/12/2020 13时01分00秒,22.585,22.369,22.321
106,08/12/2020 13时02分00秒,22.561,22.369,22.298
107,08/12/2020 13时03分00秒,22.585,22.393,22.321
108,08/12/2020 13时04分00秒,22.585,22.321,22.321
109,08/12/2020 13时05分00秒,22.585,22.393,22.345
110,08/12/2020 13时06分00秒,22.657,22.345,22.321
111,08/12/2020 13时07分00秒,22.609,22.345,22.321
112,08/12/2020 13时08分00秒,22.561,22.321,22.298
113,08/12/2020 13时09分00秒,22.513,22.345,22.321
114,08/12/2020 13时10分00秒,22.585,22.321,22.274
115,08/12/2020 13时11分00秒,22.609,22.369,22.321
116,08/12/2020 13时12分00秒,22.633,22.345,22.298
117,08/12/2020 13时13分00秒,22.513,22.345,22.274
118,08/12/2020 13时14分00秒,22.489,22.345,22.274
119,08/12/2020 13时15分00秒,22.657,22.369,22.321
120,08/12/2020 13时16分00秒,22.585,22.393,22.321
121,08/12/2020 13时17分00秒,22.513,22.345,22.298
122,08/12/2020 13时18分00秒,22.585,22.321,22.321
123,08/12/2020 13时19分00秒,22.585,22.393,22.345
124,08/12/2020 13时20分00秒,22.585,22.417,22.345
125,08/12/2020 13时21分00秒,22.585,22.417,22.345
126,08/12/2020 13时22分00秒,22.657,22.369,22.345
127,08/12/2020 13时23分00秒,22.585,22.321,22.321
128,08/12/2020 13时24分00秒,22.681,22.369,22.345
129,08/12/2020 13时25分00秒,22.537,22.369,22.321
130,08/12/2020 13时26分00秒,22.585,22.369,22.321
131,08/12/2020 13时27分00秒,22.561,22.393,22.321
132,08/12/2020 13时28分00秒,22.585,22.345,22.298
133,08/12/2020 13时29分00秒,22.561,22.345,22.298
134,08/12/2020 13时30分00秒,22.585,22.417,22.345
135,08/12/2020 13时31分00秒,22.609,22.417,22.369
136,08/12/2020 13时32分00秒,22.681,22.393,22.345
137,08/12/2020 13时33分00秒,22.609,22.441,22.345
138,08/12/2020 13时34分00秒,22.537,22.369,22.298
139,08/12/2020 13时35分00秒,22.657,22.393,22.345
140,08/12/2020 13时36分00秒,22.609,22.369,22.321
141,08/12/2020 13时37分00秒,22.657,22.393,22.321
142,08/12/2020 13时38分00秒,22.609,22.417,22.321
143,08/12/2020 13时39分00秒,22.633,22.393,22.321
144,08/12/2020 13时40分00秒,22.657,22.393,22.321
145,08/12/2020 13时41分00秒,22.657,22.393,22.298
146,08/12/2020 13时42分00秒,22.633,22.417,22.321
147,08/12/2020 13时43分00秒,22.585,22.345,22.274
148,08/12/2020 13时44分00秒,22.585,22.393,22.298
149,08/12/2020 13时45分00秒,22.609,22.417,22.298
150,08/12/2020 13时46分00秒,22.609,22.417,22.321
151,08/12/2020 13时47分00秒,22.609,22.393,22.298
152,08/12/2020 13时48分00秒,22.561,22.369,22.274
153,08/12/2020 13时49分00秒,22.537,22.369,22.298
154,08/12/2020 13时50分00秒,22.681,22.369,22.321
155,08/12/2020 13时51分00秒,22.681,22.369,22.345
156,08/12/2020 13时52分00秒,22.657,22.369,22.298
157,08/12/2020 13时53分00秒,22.681,22.369,22.298
158,08/12/2020 13时54分00秒,22.561,22.369,22.298
159,08/12/2020 13时55分00秒,22.681,22.369,22.321
160,08/12/2020 13时56分00秒,22.657,22.345,22.298
161,08/12/2020 13时57分00秒,22.561,22.345,22.321
162,08/12/2020 13时58分00秒,22.633,22.298,22.298
163,08/12/2020 13时59分00秒,22.705,22.345,22.345
164,08/12/2020 14时00分00秒,22.561,22.345,22.321
165,08/12/2020 14时01分00秒,22.633,22.298,22.321
166,08/12/2020 14时02分00秒,22.561,22.345,22.321
167,08/12/2020 14时03分00秒,22.657,22.369,22.369
168,08/12/2020 14时04分00秒,22.657,22.321,22.321
169,08/12/2020 14时05分00秒,22.633,22.298,22.321
170,08/12/2020 14时06分00秒,22.609,22.345,22.321
171,08/12/2020 14时07分00秒,22.657,22.369,22.345
172,08/12/2020 14时08分00秒,22.729,22.321,22.321
173,08/12/2020 14时09分00秒,22.729,22.321,22.321
174,08/12/2020 14时10分00秒,22.729,22.321,22.321
175,08/12/2020 14时11分00秒,22.705,22.345,22.345
176,08/12/2020 14时12分00秒,22.633,22.298,22.321
177,08/12/2020 14时13分00秒,22.657,22.369,22.345
178,08/12/2020 14时14分00秒,22.633,22.369,22.345
179,08/12/2020 14时15分00秒,22.657,22.345,22.369
180,08/12/2020 14时16分00秒,22.681,22.321,22.345
181,08/12/2020 14时17分00秒,22.561,22.298,22.298
182,08/12/2020 14时18分00秒,22.681,22.321,22.345
183,08/12/2020 14时19分00秒,22.633,22.345,22.321
184,08/12/2020 14时20分00秒,22.633,22.274,22.298
185,08/12/2020 14时21分00秒,22.609,22.298,22.321
186,08/12/2020 14时22分00秒,22.633,22.321,22.345
187,08/12/2020 14时23分00秒,22.657,22.345,22.369
188,08/12/2020 14时24分00秒,22.657,22.274,22.345
189,08/12/2020 14时25分00秒,22.705,22.298,22.345
190,08/12/2020 14时26分00秒,22.657,22.298,22.345
191,08/12/2020 14时27分00秒,22.609,22.298,22.321
192,08/12/2020 14时28分00秒,22.681,22.298,22.345
193,08/12/2020 14时29分00秒,22.657,22.274,22.345
194,08/12/2020 14时30分00秒,22.585,22.298,22.345
195,08/12/2020 14时31分00秒,22.681,22.298,22.321
196,08/12/2020 14时32分00秒,22.633,22.274,22.298
197,08/12/2020 14时33分00秒,22.657,22.274,22.321
198,08/12/2020 14时34分00秒,22.609,22.298,22.321
199,08/12/2020 14时35分00秒,22.585,22.274,22.298
200,08/12/2020 14时36分00秒,22.657,22.321,22.345
201,08/12/2020 14时37分00秒,22.633,22.250,22.298
202,08/12/2020 14时38分00秒,22.657,22.274,22.345
203,08/12/2020 14时39分00秒,22.657,22.250,22.321
204,08/12/2020 14时40分00秒,22.657,22.250,22.345
205,08/12/2020 14时41分00秒,22.633,22.298,22.345
206,08/12/2020 14时42分00秒,22.633,22.250,22.321
207,08/12/2020 14时43分00秒,22.633,22.321,22.345
208,08/12/2020 14时44分00秒,22.705,22.298,22.345
209,08/12/2020 14时45分00秒,22.561,22.274,22.298
210,08/12/2020 14时46分00秒,22.561,22.274,22.321
211,08/12/2020 14时47分00秒,22.633,22.321,22.345
212,08/12/2020 14时48分00秒,22.561,22.274,22.321
213,08/12/2020 14时49分00秒,22.657,22.321,22.369
214,08/12/2020 14时50分00秒,22.705,22.274,22.393
215,08/12/2020 14时51分00秒,22.633,22.298,22.369
216,08/12/2020 14时52分00秒,22.657,22.250,22.369
217,08/12/2020 14时53分00秒,22.657,22.250,22.345
218,08/12/2020 14时54分00秒,22.585,22.274,22.345
219,08/12/2020 14时55分00秒,22.633,22.274,22.345
220,08/12/2020 14时56分00秒,22.657,22.298,22.345
221,08/12/2020 14时57分00秒,22.657,22.250,22.345
222,08/12/2020 14时58分00秒,22.705,22.274,22.345
223,08/12/2020 14时59分00秒,22.681,22.298,22.369
224,08/12/2020 15时00分00秒,22.657,22.298,22.345
225,08/12/2020 15时01分00秒,22.585,22.250,22.321
226,08/12/2020 15时02分00秒,22.585,22.250,22.298
227,08/12/2020 15时03分00秒,22.729,22.250,22.345
228,08/12/2020 15时04分00秒,22.657,22.226,22.321
